0.000000000000e+00  1.000000000000e-06  
1.000000000000e+01  1.000000000000e-06  
2.000000000000e+01  2.000000000000e-06  
3.000000000000e+01  3.000000000000e-06  
4.000000000000e+01  9.000000000000e-06  
5.000000000000e+01  9.000000000000e-06  
6.000000000000e+01  1.300000000000e-05  
7.000000000000e+01  1.900000000000e-05  
8.000000000000e+01  2.600000000000e-05  
9.000000000000e+01  3.200000000000e-05  
1.000000000000e+02  4.200000000000e-05  
1.100000000000e+02  4.900000000000e-05  
1.200000000000e+02  6.200000000000e-05  
1.300000000000e+02  8.700000000000e-05  
1.400000000000e+02  8.200000000000e-05  
1.500000000000e+02  9.500000000000e-05  
1.600000000000e+02  1.100000000000e-04  
1.700000000000e+02  1.240000000000e-04  
1.800000000000e+02  1.820000000000e-04  
1.900000000000e+02  1.750000000000e-04  
2.000000000000e+02  1.780000000000e-04  
2.100000000000e+02  2.760000000000e-04  
2.200000000000e+02  2.210000000000e-04  
2.300000000000e+02  2.360000000000e-04  
2.400000000000e+02  2.710000000000e-04  
2.500000000000e+02  3.010000000000e-04  
2.600000000000e+02  3.200000000000e-04  
2.700000000000e+02  3.270000000000e-04  
2.800000000000e+02  3.470000000000e-04  
2.900000000000e+02  3.820000000000e-04  
3.000000000000e+02  4.180000000000e-04  
3.100000000000e+02  4.520000000000e-04  
3.200000000000e+02  4.520000000000e-04  
3.300000000000e+02  5.540000000000e-04  
3.400000000000e+02  5.190000000000e-04  
3.500000000000e+02  6.100000000000e-04  
3.600000000000e+02  5.810000000000e-04  
3.700000000000e+02  6.250000000000e-04  
3.800000000000e+02  7.010000000000e-04  
3.900000000000e+02  7.290000000000e-04  
4.000000000000e+02  7.580000000000e-04  
4.100000000000e+02  7.750000000000e-04  
4.200000000000e+02  8.070000000000e-04  
4.300000000000e+02  8.790000000000e-04  
4.400000000000e+02  9.200000000000e-04  
4.500000000000e+02  9.430000000000e-04  
4.600000000000e+02  1.030000000000e-03  
4.700000000000e+02  1.039000000000e-03  
4.800000000000e+02  1.345000000000e-03  
4.900000000000e+02  1.154000000000e-03  
5.000000000000e+02  1.425000000000e-03  
5.100000000000e+02  1.281000000000e-03  
5.200000000000e+02  1.254000000000e-03  
5.300000000000e+02  1.293000000000e-03  
5.400000000000e+02  1.350000000000e-03  
5.500000000000e+02  1.598000000000e-03  
5.600000000000e+02  2.403000000000e-03  
5.700000000000e+02  1.623000000000e-03  
5.800000000000e+02  1.666000000000e-03  
5.900000000000e+02  1.618000000000e-03  
6.000000000000e+02  1.845000000000e-03  
6.100000000000e+02  1.819000000000e-03  
6.200000000000e+02  2.006000000000e-03  
6.300000000000e+02  1.904000000000e-03  
6.400000000000e+02  1.973000000000e-03  
6.500000000000e+02  2.236000000000e-03  
6.600000000000e+02  2.050000000000e-03  
6.700000000000e+02  2.332000000000e-03  
6.800000000000e+02  2.166000000000e-03  
6.900000000000e+02  2.372000000000e-03  
7.000000000000e+02  2.338000000000e-03  
7.100000000000e+02  2.391000000000e-03  
7.200000000000e+02  2.466000000000e-03  
7.300000000000e+02  2.543000000000e-03  
7.400000000000e+02  2.702000000000e-03  
7.500000000000e+02  2.746000000000e-03  
7.600000000000e+02  2.728000000000e-03  
7.700000000000e+02  2.813000000000e-03  
7.800000000000e+02  2.909000000000e-03  
7.900000000000e+02  3.006000000000e-03  
8.000000000000e+02  3.108000000000e-03  
8.100000000000e+02  3.256000000000e-03  
8.200000000000e+02  3.255000000000e-03  
8.300000000000e+02  3.298000000000e-03  
8.400000000000e+02  3.406000000000e-03  
8.500000000000e+02  3.467000000000e-03  
8.600000000000e+02  3.559000000000e-03  
8.700000000000e+02  3.660000000000e-03  
8.800000000000e+02  3.731000000000e-03  
8.900000000000e+02  3.755000000000e-03  
9.000000000000e+02  3.939000000000e-03  
9.100000000000e+02  3.966000000000e-03  
9.200000000000e+02  4.094000000000e-03  
9.300000000000e+02  4.281000000000e-03  
9.400000000000e+02  4.402000000000e-03  
9.500000000000e+02  4.406000000000e-03  
9.600000000000e+02  4.533000000000e-03  
9.700000000000e+02  4.673000000000e-03  
9.800000000000e+02  4.585000000000e-03  
9.900000000000e+02  4.785000000000e-03  
1.000000000000e+03  4.851000000000e-03  
1.010000000000e+03  5.162000000000e-03  
1.020000000000e+03  5.092000000000e-03  
