# Time 	 Euler Position 	 Leap Position  	 RK4 Position 
0.000000000000e+00 	 0.000000000000e+00 	  0.000000000000e+00 	  0.000000000000e+00 
1.000000014901e-01 	 1.000000014901e-01 	  1.000000014901e-01 	  9.983333945274e-02 
2.000000029802e-01 	 1.990000009537e-01 	  1.990000009537e-01 	  1.986691802740e-01 
3.000000119209e-01 	 2.960100173950e-01 	  2.960100173950e-01 	  2.955199778080e-01 
4.000000059605e-01 	 3.900599181652e-01 	  3.900599181652e-01 	  3.894180357456e-01 
5.000000000000e-01 	 4.802092313766e-01 	  4.802092313766e-01 	  4.794251620770e-01 
6.000000238419e-01 	 5.655564665794e-01 	  5.655564665794e-01 	  5.646420717239e-01 
6.999999880791e-01 	 6.452481150627e-01 	  6.452481150627e-01 	  6.442172527313e-01 
8.000000119209e-01 	 7.184872627258e-01 	  7.184872627258e-01 	  7.173556089401e-01 
9.000000357628e-01 	 7.845415472984e-01 	  7.845415472984e-01 	  7.833263874054e-01 
1.000000000000e+00 	 8.427504301071e-01 	  8.427504301071e-01 	  8.414704799652e-01 
1.100000023842e+00 	 8.925318121910e-01 	  8.925318121910e-01 	  8.912068605423e-01 
1.200000047684e+00 	 9.333878755569e-01 	  9.333878755569e-01 	  9.320386052132e-01 
1.300000071526e+00 	 9.649100303650e-01 	  9.649100303650e-01 	  9.635577797890e-01 
1.399999976158e+00 	 9.867830872536e-01 	  9.867830872536e-01 	  9.854494333267e-01 
1.500000000000e+00 	 9.987883567810e-01 	  9.987883567810e-01 	  9.974948167801e-01 
1.600000023842e+00 	 1.000805735588e+00 	  1.000805735588e+00 	  9.995735287666e-01 
1.700000047684e+00 	 9.928150177002e-01 	  9.928150177002e-01 	  9.916648864746e-01 
1.800000071526e+00 	 9.748961925507e-01 	  9.748961925507e-01 	  9.738478660583e-01 
1.899999976158e+00 	 9.472283720970e-01 	  9.472283720970e-01 	  9.463005065918e-01 
2.000000000000e+00 	 9.100883007050e-01 	  9.100883007050e-01 	  9.092980027199e-01 
2.100000143051e+00 	 8.638473153114e-01 	  8.638473153114e-01 	  8.632101416588e-01 
2.200000047684e+00 	 8.089678883553e-01 	  8.089678883553e-01 	  8.084973692894e-01 
2.299999952316e+00 	 7.459987401962e-01 	  7.459987401962e-01 	  7.457063794136e-01 
