# Time 	 Euler Position 	 Leap Position  	 RK4 Position 
0.000000000000e+00 	 0.000000000000e+00 	  0.000000000000e+00 	  0.000000000000e+00 
9.999999776483e-03 	 9.999999776483e-03 	  9.999999776483e-03 	  9.999833069742e-03 
1.999999955297e-02 	 1.999999955297e-02 	  1.999899931252e-02 	  1.999866589904e-02 
2.999999932945e-02 	 2.999899908900e-02 	  2.999599836767e-02 	  2.999549917877e-02 
3.999999910593e-02 	 3.999599814415e-02 	  3.999000042677e-02 	  3.998933359981e-02 
4.999999701977e-02 	 4.998999834061e-02 	  4.997999966145e-02 	  4.997916892171e-02 
5.999999865890e-02 	 5.997999757528e-02 	  5.996499955654e-02 	  5.996400490403e-02 
7.000000029802e-02 	 6.996499747038e-02 	  6.994400918484e-02 	  6.994284689426e-02 
7.999999821186e-02 	 7.994399964809e-02 	  7.991602271795e-02 	  7.991469651461e-02 
8.999999612570e-02 	 8.991600573063e-02 	  8.988004177809e-02 	  8.987855166197e-02 
9.999999403954e-02 	 9.988001734018e-02 	  9.983507543802e-02 	  9.983342140913e-02 
1.099999994040e-01 	 1.098350360990e-01 	  1.097801253200e-01 	  1.097783073783e-01 
1.199999973178e-01 	 1.197800710797e-01 	  1.197141930461e-01 	  1.197122111917e-01 
1.299999952316e-01 	 1.297141164541e-01 	  1.296362876892e-01 	  1.296341419220e-01 
1.400000005960e-01 	 1.396361887455e-01 	  1.395454257727e-01 	  1.395431160927e-01 
1.499999910593e-01 	 1.495452821255e-01 	  1.494406014681e-01 	  1.494381278753e-01 
1.599999964237e-01 	 1.594404131174e-01 	  1.593208312988e-01 	  1.593182086945e-01 
1.700000017881e-01 	 1.693205982447e-01 	  1.691851317883e-01 	  1.691823452711e-01 
1.799999922514e-01 	 1.791848391294e-01 	  1.790325194597e-01 	  1.790295690298e-01 
1.899999976158e-01 	 1.890321522951e-01 	  1.888619959354e-01 	  1.888588964939e-01 
1.999999880791e-01 	 1.988615393639e-01 	  1.986725926399e-01 	  1.986693292856e-01 
2.099999934435e-01 	 2.086720168591e-01 	  2.084633260965e-01 	  2.084598988295e-01 
2.199999988079e-01 	 2.184626162052e-01 	  2.182332128286e-01 	  2.182296216488e-01 
2.299999892712e-01 	 2.282323539257e-01 	  2.279812693596e-01 	  2.279775291681e-01 
2.399999946356e-01 	 2.379802465439e-01 	  2.377065271139e-01 	  2.377026379108e-01 
2.500000000000e-01 	 2.477053105831e-01 	  2.474080175161e-01 	  2.474039644003e-01 
2.599999904633e-01 	 2.574065625668e-01 	  2.570847570896e-01 	  2.570805549622e-01 
2.699999809265e-01 	 2.670830488205e-01 	  2.667357921600e-01 	  2.667314410210e-01 
2.800000011921e-01 	 2.767338156700e-01 	  2.763601541519e-01 	  2.763556540012e-01 
2.899999916553e-01 	 2.863578498363e-01 	  2.859568893909e-01 	  2.859522402287e-01 
2.999999821186e-01 	 2.959542274475e-01 	  2.955250144005e-01 	  2.955202162266e-01 
3.100000023842e-01 	 3.055219650269e-01 	  3.050636053085e-01 	  3.050586581230e-01 
3.199999928474e-01 	 3.150601089001e-01 	  3.145716786385e-01 	  3.145665824413e-01 
