 1 6.18034005165100097656250000000000e-01 6.18034005165100097656250000000000e-01 
 2 3.81965994834899902343750000000000e-01 3.81966024637222290039062500000000e-01 
 3 2.36067980527877807617187500000000e-01 2.36067995429039001464843750000000e-01 
 4 1.45898044109344482421875000000000e-01 1.45898044109344482421875000000000e-01 
 5 9.01699513196945190429687500000000e-02 9.01699513196945190429687500000000e-02 
 6 5.57280927896499633789062500000000e-02 5.57280965149402618408203125000000e-02 
 7 3.44418585300445556640625000000000e-02 3.44418585300445556640625000000000e-02 
 8 2.12862379848957061767578125000000e-02 2.12862398475408554077148437500000e-02 
 9 1.31556196138262748718261718750000e-02 1.31556196138262748718261718750000e-02 
10 8.13061930239200592041015625000000e-03 8.13062023371458053588867187500000e-03 
11 5.02499938011169433593750000000000e-03 5.02499984577298164367675781250000e-03 
12 3.10562038794159889221191406250000e-03 3.10562085360288619995117187500000e-03 
13 1.91937910858541727066040039062500e-03 1.91937934141606092453002929687500e-03 
14 1.18624162860214710235595703125000e-03 1.18624174501746892929077148437500e-03 
15 7.33137712813913822174072265625000e-04 7.33137712813913822174072265625000e-04 
16 4.53104003099724650382995605468750e-04 4.53104032203555107116699218750000e-04 
17 2.80033680610358715057373046875000e-04 2.80033709714189171791076660156250e-04 
18 1.73070351593196392059326171875000e-04 1.73070351593196392059326171875000e-04 
19 1.06963350845035165548324584960938e-04 1.06963365396950393915176391601562e-04 
20 6.61069934722036123275756835937500e-05 6.61070007481612265110015869140625e-05 
